Tweet,Borough,Hate Prediction,Tweet Date,Latitude,Longitude
Whole china infected with COVID again Disgusting country,Barnet,racism,2022-12-24 22:41:41+00:00,51.65309,-0.2002261
When makes money thought process consists starting family raising kids when woman makes money like fuck independent need married True false,Croydon,sexism,2022-12-24 22:41:17+00:00,51.3713049,-0.101957
whoop gorillas flange baboons,Sutton,racism,2022-12-24 21:43:29+00:00,51.357464449999995,-0.17362689496950337
many celebrate holidays including China pray Chinese government have tiny decency must free these children parents allow them leave China reunite with their children world watching Time history will forget this injustice,Camden Town,racism,2022-12-24 21:23:07+00:00,51.5423045,-0.1395604
Bitches looking strange know care,London,sexism,2022-12-24 20:34:25+00:00,51.5073359,-0.12765
being idiot,Camberwell,disability,2022-12-24 18:11:50+00:00,51.4745706,-0.0925416
Cuntzone,Lewisham,sexism,2022-12-24 17:37:49+00:00,51.4624292,-0.0101787
doesn want Kids seem much hassle Especially girls kind envisaged that just want around pissed that,Camberwell,sexism,2022-12-24 17:32:58+00:00,51.4745706,-0.0925416
Such shame Fella,Islington,sexism,2022-12-24 16:37:29+00:00,51.5384287,-0.0999051
women still smile though,Kensington,sexism,2022-12-24 12:25:07+00:00,51.4989948,-0.1991229
stfu abuse animals,Paddington,racism,2022-12-24 10:40:48+00:00,51.5154795,-0.175365
Womens Hour bonkers Hislop bonkers sexist little prick funny least rely these lunatics news weather kids,Islington,sexism,2022-12-24 08:47:49+00:00,51.5384287,-0.0999051
shot woman needs stfu,Brent,sexism,2022-12-24 08:05:50+00:00,51.5639957,-0.27590641378489267
parents would embarrassed shot girl foot,Brent,sexism,2022-12-24 08:04:30+00:00,51.5639957,-0.27590641378489267
female characters better than male ones They have more interior life,Camden Town,sexism,2022-12-24 08:02:06+00:00,51.5423045,-0.1395604
pretend drugs unfair dumb,Barking,disability,2022-12-24 00:53:16+00:00,51.5389922,0.0804245
More than women,Croydon,sexism,2022-12-23 23:19:48+00:00,51.3713049,-0.101957
They girls with chips their shoulders look ridiculous,Ealing,sexism,2022-12-23 22:05:56+00:00,51.5126553,-0.3051952
fucking cunt,Hackney,sexism,2022-12-23 21:40:50+00:00,51.5432402,-0.0493621
Guys with ashy lips,Croydon,sexism,2022-12-23 21:05:30+00:00,51.3713049,-0.101957
wake each morning think what nonsense shall make today Seriously saying call yourself woman,Poplar,sexism,2022-12-23 19:55:24+00:00,51.5110713,-0.0144629
epitome being stupid prick,Barnet,disability,2022-12-23 19:35:32+00:00,51.65309,-0.2002261
sorry have been victim brainless didn want cretinous Cunt Whoops,Lewisham,sexism,2022-12-23 19:00:12+00:00,51.4624292,-0.0101787
Fear women,Sutton,sexism,2022-12-23 18:42:16+00:00,51.357464449999995,-0.17362689496950337
them sausage roll twats Christmas number,Croydon,sexism,2022-12-23 18:05:56+00:00,51.3713049,-0.101957
current guidelines based upon medical social assessments based upon outmoded standard femininity,Camden Town,sexism,2022-12-23 16:39:04+00:00,51.5423045,-0.1395604
horrendous criminalise people they love much much worse done know criticise Islamic ideology though agree with these things done name Islam,Lambeth,religion,2022-12-23 16:21:53+00:00,51.4952111,-0.1163354
Bloody women drivers,Bromley,sexism,2022-12-23 16:08:50+00:00,51.4028046,0.0148142
mean make head little,Kingston upon Thames,disability,2022-12-23 14:26:22+00:00,51.4096275,-0.3062621
REALLY COULD imagine world allowing celebrate winning World Messi then twat woman could never have done this Like stfu,Hounslow,sexism,2022-12-23 14:14:37+00:00,51.4686132,-0.3613471
Interesting take women play chess also,Barnet,sexism,2022-12-23 13:54:39+00:00,51.65309,-0.2002261
everytime quote tweet moron always have them blocked,Merton,disability,2022-12-23 13:28:08+00:00,51.41086985,-0.18809708858824303
breaking breaking protection order that hard Sick tired religious cultists dictatorially imposing their mumbo jumbo medievalism rest world causing much pain death many,Camberwell,religion,2022-12-23 12:20:19+00:00,51.4745706,-0.0925416
Stupid assumed driver male,Bromley,sexism,2022-12-23 10:42:13+00:00,51.4028046,0.0148142
There have been innumerable women games commentated male pundits What should matter knowledge between their ears biology between their legs,Hackney,sexism,2022-12-23 08:56:01+00:00,51.5432402,-0.0493621
lying misogynist,Camden Town,sexism,2022-12-23 08:22:32+00:00,51.5423045,-0.1395604
Thought moment there they were going send their wives front,Sutton,sexism,2022-12-23 08:21:37+00:00,51.357464449999995,-0.17362689496950337
average women looks,Camden Town,sexism,2022-12-23 07:32:17+00:00,51.5423045,-0.1395604
really this bitch like,Croydon,sexism,2022-12-23 06:36:56+00:00,51.3713049,-0.101957
learnt words mean shit Guys will ANYTHING then twist mean nothing later Girls gotta make sure screenshot,Hounslow,sexism,2022-12-23 02:47:41+00:00,51.4686132,-0.3613471
Stupid little cunt,Islington,sexism,2022-12-22 21:30:36+00:00,51.5384287,-0.0999051
Stupid bint,Bexley,sexism,2022-12-22 21:14:12+00:00,51.4416793,0.150488
Hahaha know literally boarding flight when typing apparently misplaced brain sitting flight laughing myself thinking what twat,Hillingdon,sexism,2022-12-22 21:07:19+00:00,51.542519299999995,-0.44833493117949663
Racist crap entertaining enuf heathen Prod heritage paid,Lambeth,religion,2022-12-22 19:51:43+00:00,51.4952111,-0.1163354
Hope cunt punctured lung,Barnet,sexism,2022-12-22 19:49:35+00:00,51.65309,-0.2002261
night celebrate Bluemas Stamford Bridge playing against Feminines last under lights,Hammersmith,sexism,2022-12-22 19:30:02+00:00,51.4920377,-0.2236401
just want think awesome darts knowledgeable speak well ling continue,Greenwich,disability,2022-12-22 19:08:00+00:00,51.4820845,-0.0045417
Today start good will till cunt turning left with crossing sarcastically said thanks stopping intitled soppy wankers haven clue,Kensington,sexism,2022-12-22 18:36:54+00:00,51.4989948,-0.1991229
Shut twat,Hounslow,sexism,2022-12-22 18:19:34+00:00,51.4686132,-0.3613471
getting technical muddle will wait until grown help children,Merton,disability,2022-12-22 17:04:47+00:00,51.41086985,-0.18809708858824303
Wives would getting very good offers,Bromley,sexism,2022-12-22 16:49:24+00:00,51.4028046,0.0148142
always mature lady thing,Richmond,sexism,2022-12-22 16:22:22+00:00,51.4613531,-0.3032767
What with women,Camden Town,sexism,2022-12-22 15:59:41+00:00,51.5423045,-0.1395604
better true monitor ppls bank accounts even think turning country into Communist Brother Country This never will China,Barnet,racism,2022-12-22 14:46:36+00:00,51.65309,-0.2002261
hate this quality keepers women football lets sport down this funny,Brent,sexism,2022-12-22 14:45:58+00:00,51.5639957,-0.27590641378489267
circle profile pics square ones real fucking dumb does pair quite well with different colour verified ticks completely inelegant fucking stupid needless problem,Paddington,disability,2022-12-22 14:31:19+00:00,51.5154795,-0.175365
Cats funny weird,Camberwell,sexism,2022-12-22 13:52:37+00:00,51.4745706,-0.0925416
corgis wouldn give secs against angry,Lambeth,sexism,2022-12-22 13:51:03+00:00,51.4952111,-0.1163354
Befriends twats then upset when they turn twats,Lambeth,sexism,2022-12-22 13:13:37+00:00,51.4952111,-0.1163354
course regret going Alexandra College would have paid even half scholarship there hate girls,London,sexism,2022-12-22 13:10:14+00:00,51.5073359,-0.12765
what twat,Croydon,sexism,2022-12-22 12:48:35+00:00,51.3713049,-0.101957
Every time FIFA officials think twat much brown envelope,Poplar,sexism,2022-12-22 12:44:02+00:00,51.5110713,-0.0144629
woman priorities straight,Brent,sexism,2022-12-22 12:21:22+00:00,51.5639957,-0.27590641378489267
know twat,Bromley,sexism,2022-12-22 12:08:15+00:00,51.4028046,0.0148142
Said male nurse called Marion Reminds song Named,Paddington,sexism,2022-12-22 10:18:02+00:00,51.5154795,-0.175365
Whenever woman wins there always whataboutisms irregardless what they done Again from yeah Obviously young Males will idolise Males,Harrow,sexism,2022-12-22 08:19:00+00:00,51.596827149999996,-0.3373046180437286
except that there gods going live life Christian death cult that worships imaginary being apparently genocidal homophobic causes allows little children suffer pity your delusions being special,Wandsworth,religion,2022-12-22 07:39:33+00:00,51.4570271,-0.1932607
simp definitely cunt also think your soul mate,Hillingdon,sexism,2022-12-22 06:46:53+00:00,51.542519299999995,-0.44833493117949663
hope they travel freely chinese year that will kick start whole nightmare again,London,racism,2022-12-22 06:15:22+00:00,51.5073359,-0.12765
going learned lesson with last whore throw these bitches backboard,Hounslow,sexism,2022-12-22 02:51:39+00:00,51.4686132,-0.3613471
move Moscow disgusting human being hope like being slave reprobate Putin because after comes devil,London,religion,2022-12-22 01:24:01+00:00,51.5073359,-0.12765
hate women just wouldn trust anywhere near family,Camden Town,sexism,2022-12-22 00:30:17+00:00,51.5423045,-0.1395604
Every twat knows fucking,Merton,sexism,2022-12-21 23:47:25+00:00,51.41086985,-0.18809708858824303
sneaks dirt femme,Hammersmith,sexism,2022-12-21 23:35:32+00:00,51.4920377,-0.2236401
Didn comparable course didn know women football thing,Hounslow,sexism,2022-12-21 23:19:03+00:00,51.4686132,-0.3613471
Patently untrue ghastly misogynist voted down amendment stop rapists from being transferred womens prison soon they claim they women,Enfield,sexism,2022-12-21 23:00:38+00:00,51.6520851,-0.0810175
know some girls accept violence from share,Hammersmith,sexism,2022-12-21 22:42:54+00:00,51.4920377,-0.2236401
hate bitches smile between kisses like okay babe look love while doing keep going,Kensington,sexism,2022-12-21 22:04:25+00:00,51.4989948,-0.1991229
Third necklace years broken lost what cunt,Sutton,sexism,2022-12-21 20:49:44+00:00,51.357464449999995,-0.17362689496950337
will have word with about talking politics still employ after misogynistic column know does most harm,Bromley,sexism,2022-12-21 20:48:02+00:00,51.4028046,0.0148142
smartass,Merton,disability,2022-12-21 18:59:03+00:00,51.41086985,-0.18809708858824303
know Girls should longer into Women toilets alone have start training them about these risks,Camden Town,sexism,2022-12-21 18:48:45+00:00,51.5423045,-0.1395604
Hate that cunt,Camden Town,sexism,2022-12-21 18:37:40+00:00,51.5423045,-0.1395604
need more like instead these woke twats,Romford,sexism,2022-12-21 18:37:33+00:00,51.5760462,0.1822646
dont without texting fuck niggaa,Islington,racism,2022-12-21 17:06:39+00:00,51.5384287,-0.0999051
Knowledge power wouldn want little ladies getting ahead themselves,Enfield,sexism,2022-12-21 16:26:19+00:00,51.6520851,-0.0810175
also diligent competent intelligent,City of London,disability,2022-12-21 14:22:09+00:00,51.5156177,-0.0919983
unintelligent even have name changed later tonight unintelligent gets shirts printed with name coffee also with name chic gold letters black pint coffee,London,disability,2022-12-21 14:16:03+00:00,51.5073359,-0.12765
definitely Ignorant idiot Amazing Deluded Really,Barnet,disability,2022-12-21 13:25:12+00:00,51.65309,-0.2002261
Bros seem awfully forthcoming about they never made woman orgasm,Camden Town,sexism,2022-12-21 12:59:07+00:00,51.5423045,-0.1395604
this abandoned these poor Afghan women back misogynist Taliban wolves Shameful,Kensington,religion,2022-12-21 12:48:05+00:00,51.4989948,-0.1991229
could never root those savages Horrible folk,Barnet,racism,2022-12-21 12:40:47+00:00,51.65309,-0.2002261
Your twat well,Barnet,sexism,2022-12-21 12:32:12+00:00,51.65309,-0.2002261
twat,Greenwich,sexism,2022-12-21 11:48:27+00:00,51.4820845,-0.0045417
silly position couldn reverse really atheist once believed,Camberwell,disability,2022-12-21 10:59:22+00:00,51.4745706,-0.0925416
clever dumb,Enfield,disability,2022-12-21 10:45:22+00:00,51.6520851,-0.0810175
Such bitter cunt,Paddington,sexism,2022-12-21 10:20:17+00:00,51.5154795,-0.175365
point that this shown massive flaw misogyny should hate crime editor code need change women woman,London,sexism,2022-12-21 09:52:11+00:00,51.5073359,-0.12765
woman obviously didn find offensive,Hammersmith,sexism,2022-12-21 09:13:56+00:00,51.4920377,-0.2236401
women should outraged Jeremy Clarkson comments,Hackney,sexism,2022-12-21 06:35:38+00:00,51.5432402,-0.0493621
talk much sense plus still problem,Poplar,disability,2022-12-21 03:07:54+00:00,51.5110713,-0.0144629
Just would place does hand around with some twits,Croydon,sexism,2022-12-21 02:42:15+00:00,51.3713049,-0.101957
Another stupid cunt This will bring Short arse down,Barnet,sexism,2022-12-21 02:38:31+00:00,51.65309,-0.2002261
just plain retarded,Romford,disability,2022-12-21 02:27:52+00:00,51.5760462,0.1822646
feed idiots mate,Wandsworth,disability,2022-12-21 01:20:41+00:00,51.4570271,-0.1932607
senseless fight keeps morons like power,Wandsworth,disability,2022-12-21 01:08:27+00:00,51.4570271,-0.1932607
this stick fictional celebrities trying rational human being promise,Richmond,disability,2022-12-21 00:32:03+00:00,51.4613531,-0.3032767
didn work still cunt,Camberwell,sexism,2022-12-21 00:24:08+00:00,51.4745706,-0.0925416
this cunt,Hackney,sexism,2022-12-20 23:25:40+00:00,51.5432402,-0.0493621
actually obsessed weird cunt,Romford,sexism,2022-12-20 23:10:24+00:00,51.5760462,0.1822646
full shit hopefully owners will take that cunt with them,Islington,sexism,2022-12-20 22:58:29+00:00,51.5384287,-0.0999051
wanted pilot just couldn head around things school later life because know have ADHD also wanted driver,Wandsworth,disability,2022-12-20 22:02:39+00:00,51.4570271,-0.1932607
mention dunked this twat times game,Hammersmith,sexism,2022-12-20 21:50:47+00:00,51.4920377,-0.2236401
Will your wife popping into hospital give bath think nurse safer option,Merton,sexism,2022-12-20 21:39:36+00:00,51.41086985,-0.18809708858824303
gotten gifts this year mostly junk food with heartfelt letters them bitches better leaving,Ealing,sexism,2022-12-20 21:31:44+00:00,51.5126553,-0.3051952
Women statistically more likely have this injury humans prone,Camden Town,sexism,2022-12-20 21:31:15+00:00,51.5423045,-0.1395604
with Dolphin remember aren twats like,Enfield,sexism,2022-12-20 21:27:25+00:00,51.6520851,-0.0810175
Stop flights from china immediately This spread next level covid,Croydon,racism,2022-12-20 20:32:21+00:00,51.3713049,-0.101957
What twat,Barnet,sexism,2022-12-20 20:29:00+00:00,51.65309,-0.2002261
cunt mate,London,sexism,2022-12-20 19:08:40+00:00,51.5073359,-0.12765
Sussexes DESERVE itAndrew doesnt Queen paid working girl shut stupid face Queen very unwell with bone cancer just wanted some peace knowing time short England legal at16 judged adult working girl,Kingston upon Thames,sexism,2022-12-20 18:37:58+00:00,51.4096275,-0.3062621
Speak hear islamophobic what about Jews your balls Pussy,Brent,religion,2022-12-20 17:46:19+00:00,51.5639957,-0.27590641378489267
Pathetic faggot,London,sexual_orientation,2022-12-20 16:42:00+00:00,51.5073359,-0.12765
Female BALLERS absolutely love masculine styling goalie,Camberwell,sexism,2022-12-20 15:43:17+00:00,51.4745706,-0.0925416
actually think needs help,Romford,disability,2022-12-20 15:15:01+00:00,51.5760462,0.1822646
great sense humour said used think Bono total twat till,Kingston upon Thames,sexism,2022-12-20 15:09:23+00:00,51.4096275,-0.3062621
they capable being Pregnant they WOMEN,Hounslow,sexism,2022-12-20 14:59:40+00:00,51.4686132,-0.3613471
Educating idiot hell bent hating Islam waste practice have problem with Jews murdering Palestinians because they think everyone should their slave Spastic,Brent,religion,2022-12-20 10:41:26+00:00,51.5639957,-0.27590641378489267
published stupid rant drunkard,Bromley,disability,2022-12-20 10:20:02+00:00,51.4028046,0.0148142
Virgins think have YouTube channel woman attention,Camberwell,sexism,2022-12-20 09:12:10+00:00,51.4745706,-0.0925416
Well misogynistic Pratt aren,Camden Town,sexism,2022-12-20 09:09:44+00:00,51.5423045,-0.1395604
LIES idiot,Kingston upon Thames,disability,2022-12-20 08:20:28+00:00,51.4096275,-0.3062621
really useless twat,Enfield,sexism,2022-12-20 08:19:23+00:00,51.6520851,-0.0810175
David sceptre Israel open nobody then close close nobody then open come lead captive from prison free those darkness shadow death,London,religion,2022-12-20 06:38:36+00:00,51.5073359,-0.12765
Just send them back Africa,Kensington,racism,2022-12-20 02:57:40+00:00,51.4989948,-0.1991229
Twat,Camden Town,sexism,2022-12-20 02:30:58+00:00,51.5423045,-0.1395604
Whatever shall Bitch Classed,Paddington,sexism,2022-12-20 01:09:17+00:00,51.5154795,-0.175365
playing into hands cunts trying force feed their Bullshit,Paddington,sexism,2022-12-20 01:09:15+00:00,51.5154795,-0.175365
Some women have zero shame,Hammersmith,sexism,2022-12-19 23:59:56+00:00,51.4920377,-0.2236401
Okay really fucking need help miserable woman,London,sexism,2022-12-19 22:56:07+00:00,51.5073359,-0.12765
body elderly brain infant,Hillingdon,disability,2022-12-19 22:15:32+00:00,51.542519299999995,-0.44833493117949663
Woman,London,sexism,2022-12-19 21:54:21+00:00,51.5073359,-0.12765
many bitches look like thought shave eyebrows look little different,Poplar,sexism,2022-12-19 21:51:58+00:00,51.5110713,-0.0144629
Fucking evil barbarian dictators,Barnet,racism,2022-12-19 20:43:36+00:00,51.65309,-0.2002261
when they lift buddy pressers button every floor doesnt twat have stop every floor,Romford,sexism,2022-12-19 19:31:38+00:00,51.5760462,0.1822646
Cunts Year,Barnet,sexism,2022-12-19 18:10:32+00:00,51.65309,-0.2002261
enough remember when could still merry Christmas people Clarkson cunt then,Brent,sexism,2022-12-19 18:05:43+00:00,51.5639957,-0.27590641378489267
assumption made part haven managed prove obsessive weirdo,Sutton,disability,2022-12-19 16:37:41+00:00,51.357464449999995,-0.17362689496950337
Until they actually touching woman private parts they never know,Camberwell,sexism,2022-12-19 15:52:54+00:00,51.4745706,-0.0925416
because idiot,Croydon,disability,2022-12-19 15:03:20+00:00,51.3713049,-0.101957
really quote Milne bear very little brain,Hammersmith,disability,2022-12-19 14:50:51+00:00,51.4920377,-0.2236401
apology misogynistic twat sneering find repulsive,Camden Town,sexism,2022-12-19 14:43:08+00:00,51.5423045,-0.1395604
Fella nails,Islington,sexism,2022-12-19 14:26:45+00:00,51.5384287,-0.0999051
disabled look after elderly forbid fall over,Merton,disability,2022-12-19 11:45:27+00:00,51.41086985,-0.18809708858824303
FEMME Very weak verses build lyrics also questionable Saved catchy chorus Streets saying they able deliver live they qualify they definitely placing last They better some overtime budget staging,Hammersmith,sexism,2022-12-19 11:12:39+00:00,51.4920377,-0.2236401
have idea what know absolutely cannot stand super annoying women from adverts they possibly believe that good campaign,Camberwell,sexism,2022-12-19 11:11:12+00:00,51.4745706,-0.0925416
have idea what know absolutely cannot stand super annoying women from adverts they possibly believe that good campaign,Camberwell,sexism,2022-12-19 11:11:06+00:00,51.4745706,-0.0925416
have idea what know absolutely cannot stand super annoying women from adverts,Camberwell,sexism,2022-12-19 11:10:56+00:00,51.4745706,-0.0925416
have idea what know absolutely cannot stand super annoying women from adverts,Camberwell,sexism,2022-12-19 11:10:40+00:00,51.4745706,-0.0925416
have idea what know absolutely cannot stand super annoying women from adverts they possibly believe that good campaign,Camberwell,sexism,2022-12-19 11:09:43+00:00,51.4745706,-0.0925416
Mead Miedema both doing their ACLs weeks apart enough being done staff prevent incidence when know risk higher females over male players,Merton,sexism,2022-12-19 10:34:17+00:00,51.41086985,-0.18809708858824303
should asking your government that such twat Unbelievable,Camberwell,sexism,2022-12-19 10:04:45+00:00,51.4745706,-0.0925416
showing once again bring shame Hindu teachings basic human compassion fraud,Brent,religion,2022-12-19 09:44:14+00:00,51.5639957,-0.27590641378489267
think could cope with woman doing better than,Richmond,sexism,2022-12-19 09:37:34+00:00,51.4613531,-0.3032767
twat mate,Romford,sexism,2022-12-19 09:33:09+00:00,51.5760462,0.1822646
Sometimes Agnew comes across such twat,Bromley,sexism,2022-12-19 09:17:21+00:00,51.4028046,0.0148142
Fuck Bitches Money Forget Gyalies Want Rass MONEY,Hackney,sexism,2022-12-19 05:57:48+00:00,51.5432402,-0.0493621
think unintelligent insufferably arrogant Time retire,Islington,disability,2022-12-19 04:41:49+00:00,51.5384287,-0.0999051
thats just retarded,Romford,disability,2022-12-19 01:46:32+00:00,51.5760462,0.1822646
being idiot,Bromley,disability,2022-12-19 01:14:33+00:00,51.4028046,0.0148142
Twat,Harrow,sexism,2022-12-18 21:34:09+00:00,51.596827149999996,-0.3373046180437286
Yeah Sure fcuk Gods children your case creatures,Hillingdon,religion,2022-12-18 20:42:01+00:00,51.542519299999995,-0.44833493117949663
Racist Islamophobes coming slowly,Wandsworth,religion,2022-12-18 20:11:26+00:00,51.4570271,-0.1932607
much dislike faggots actually true Even Andrew Tate pedo goes teenagers,Camberwell,sexual_orientation,2022-12-18 19:59:03+00:00,51.4745706,-0.0925416
there nothing worse than strong intelligent woman where gammons concerned Remember shit pathetic little egos handle woman afraid speak,Lambeth,sexism,2022-12-18 19:57:00+00:00,51.4952111,-0.1163354
just fuck with these bitches they doing clout,London,sexism,2022-12-18 19:42:59+00:00,51.5073359,-0.12765
Cuntapoo correct,Harrow,sexism,2022-12-18 18:43:02+00:00,51.596827149999996,-0.3373046180437286
only thing that make aside woman football What game scoring trick winning game euphoria over Congratulations Messi less Messi,Lambeth,sexism,2022-12-18 18:21:39+00:00,51.4952111,-0.1163354
over dramatic would simply call twat,Merton,sexism,2022-12-18 18:09:20+00:00,51.41086985,-0.18809708858824303
Switching back regular girl next euro What world thoughhhh thank,Lambeth,sexism,2022-12-18 18:04:24+00:00,51.4952111,-0.1163354
give this cunt yellow after first,London,sexism,2022-12-18 17:59:58+00:00,51.5073359,-0.12765
just cunts will perfectly fine,Hackney,sexism,2022-12-18 17:58:41+00:00,51.5432402,-0.0493621
Karma cunt,Camberwell,sexism,2022-12-18 17:56:01+00:00,51.4745706,-0.0925416
Things girls impress guys uufff,London,sexism,2022-12-18 16:52:37+00:00,51.5073359,-0.12765
thats cool hunchos still bishead,Hammersmith,disability,2022-12-18 16:47:58+00:00,51.4920377,-0.2236401
hate that cunt,Greenwich,sexism,2022-12-18 16:44:25+00:00,51.4820845,-0.0045417
Weird cunt,Romford,sexism,2022-12-18 16:17:28+00:00,51.5760462,0.1822646
look average understatement,Wandsworth,disability,2022-12-18 15:40:58+00:00,51.4570271,-0.1932607
Airline reportedly begun shipping monkeys open poisoned imprisoned killed laboratories Please take action help monkeys,Bexley,racism,2022-12-18 15:09:47+00:00,51.4416793,0.150488
There wimmin pitch,Paddington,sexism,2022-12-18 14:40:00+00:00,51.5154795,-0.175365
stupid lady film WorldCup show idiot calling Qatar World stained,Wandsworth,sexism,2022-12-18 14:34:14+00:00,51.4570271,-0.1932607
Well when they know difference between women,Paddington,sexism,2022-12-18 14:07:38+00:00,51.5154795,-0.175365
know thick cunt with anger issues,Hillingdon,sexism,2022-12-18 11:21:38+00:00,51.542519299999995,-0.44833493117949663
definitely true pretty much marvel superheros phase four with iron heart coming they will have been swapped with female equivalents,Brent,sexism,2022-12-18 10:47:31+00:00,51.5639957,-0.27590641378489267
Watch this year Happy Christmas yellow bastards,Hillingdon,racism,2022-12-18 10:40:42+00:00,51.542519299999995,-0.44833493117949663
Just women,Richmond,sexism,2022-12-18 10:19:48+00:00,51.4613531,-0.3032767
that line questioning definitely needs added body size Please choose from following Slim medium large Fucking cunt,Lewisham,sexism,2022-12-18 10:18:03+00:00,51.4624292,-0.0101787
Cute MILF,Kensington,sexism,2022-12-18 09:55:30+00:00,51.4989948,-0.1991229
idolise male footballers idolise female broadcasters,London,sexism,2022-12-18 09:11:49+00:00,51.5073359,-0.12765
