text,hate_pred,emotion_pred,date,latitude,longitude
Men however they identify do not experience the menopause.,sexism,anticipation,2022-10-01 10:03:53+00:00,51.5423045,-0.1395604
#WhiteHouse confirms #China stopped coop on anti-drug measures https://t.co/DDHuneLBq4 via @scmpnewsnnRemember #opiumwars #eightnationalliancenChina should flood #west with whatever #drugs in fashion now amp make tons n#WesternHypocracy,racism,anticipation,2022-10-01 14:49:06+00:00,51.4624292,-0.0101787
"The Husband will always cheat for Sex, the new relationship will always meaningless and worthless for him period ",sexism,sadness,2022-10-01 20:43:14+00:00,51.4570271,-0.1932607
I think men will forever watch cartoons,sexism,joy,2022-10-02 08:22:54+00:00,51.5156177,-0.0919983
"@RedpathAARON @_charleylouisew People believe that women arent good enough to drive F1 cars which is total BS, theyre just not given a chance.",sexism,anger,2022-10-02 09:35:25+00:00,51.4570271,-0.1932607
Damned bitches hijackedvmy account made me follow the dumbest bitch Ive ever seen unimaginable utter nonsense,sexism,anger,2022-10-02 11:54:19+00:00,51.4686132,-0.3613471
"@AlixFox @LondonMarathon Remember, most men have no fashion sense whatsoever.",sexism,sadness,2022-10-02 13:04:50+00:00,51.4745706,-0.0925416
@GoonerBlock Dirty yid scum  I can use that word because Im Jewish maybe the FA might look at this and give the ugly p...k the relevant punishment..,religion,anger,2022-10-02 16:00:46+00:00,51.542519299999995,-0.44833493117949663
what a retard https://t.co/81mNDJcM9C,disability,anger,2022-10-02 17:47:13+00:00,51.4920377,-0.2236401
Some girls swear they have good pum pum until they take off their panties and their pussy looks like bbl,sexism,disgust,2022-10-02 22:20:43+00:00,51.4745706,-0.0925416
"But as funny as it sounds, most women are not funny. They laugh at our jokes",sexism,joy,2022-10-03 01:45:14+00:00,51.4028046,0.0148142
@markstott123 Apparently females have dark stripes. My friend says,sexism,anticipation,2022-10-03 07:10:31+00:00,51.4624292,-0.0101787
Men are actually fucking trash https://t.co/7ilUNDxyDk,sexism,anger,2022-10-03 09:10:03+00:00,51.4745706,-0.0925416
"I want a girl with a short skirt and a long, long jacket https://t.co/FB9TCY5RU2",sexism,joy,2022-10-03 10:10:52+00:00,51.5073359,-0.12765
Women are not nice. https://t.co/k96YEpzunf,sexism,anger,2022-10-03 11:39:01+00:00,51.5110713,-0.0144629
@MaelJade_ @diannaeanderson @KatyMontgomerie Well known feminist take Child rearing is womens work,sexism,anticipation,2022-10-03 12:29:58+00:00,51.4952111,-0.1163354
@rosko99 @stephenhdg If signage is correct it will be a man who will have the license.,sexism,anticipation,2022-10-03 12:57:13+00:00,51.5073359,-0.12765
@halford_rosie She is a he - and until hes had the full op - he can stay out of womens toilets/bathrooms,sexism,anger,2022-10-03 15:04:48+00:00,51.5384287,-0.0999051
@EuropeanBob7 Or is it girls wearing hats ,sexism,anticipation,2022-10-03 15:24:44+00:00,51.3713049,-0.101957
when will men learn that they cant just let you know later i need prep time bb,sexism,anger,2022-10-03 16:19:39+00:00,51.5110713,-0.0144629
A girls got taste https://t.co/BG2EDIlfCa,sexism,joy,2022-10-03 18:13:57+00:00,51.4745706,-0.0925416
God forgive you Niggas https://t.co/hsT7rufRqs,racism,anger,2022-10-03 20:32:40+00:00,51.4686132,-0.3613471
"Screw feminism - pun intended What pun, Jenny I dont get it. #Corrie",sexism,anger,2022-10-03 21:51:58+00:00,51.3713049,-0.101957
"@j_samu3ls @LRomansNotebook @mercash22 @dunnpress1923 Womens , that is",sexism,joy,2022-10-03 21:54:49+00:00,51.4624292,-0.0101787
Just in case people needed reminding of how fucking weird Hong Kong is right now... https://t.co/JepdrNNOIz,racism,anger,2022-10-04 02:51:59+00:00,51.4613531,-0.3032767
What Men mean when they say they need a wife Material. Thread...,sexism,anticipation,2022-10-04 05:23:57+00:00,51.5423045,-0.1395604
A woman who has respect for her husband. https://t.co/xTO0qF0X27,sexism,optimism,2022-10-04 05:24:01+00:00,51.5423045,-0.1395604
A woman who can clean. https://t.co/EABm9Y3Xn6,sexism,optimism,2022-10-04 05:24:06+00:00,51.5423045,-0.1395604
A woman who can feed your animals and do gardening. https://t.co/Ya4NoMaQE7,sexism,joy,2022-10-04 05:24:12+00:00,51.5423045,-0.1395604
"@Rap Dope, I need a woman that I can print shirts for and have matching designs",sexism,anticipation,2022-10-04 07:24:38+00:00,51.5073359,-0.12765
Women talk stupid too. What is this  https://t.co/whidgpUZgW,sexism,anger,2022-10-04 09:47:28+00:00,51.4952111,-0.1163354
@EuphoriTori Men are too cute to be in heaven,sexism,joy,2022-10-04 09:54:14+00:00,51.5073359,-0.12765
"Men want to date a handful, until it actually comes to dating a handful ",sexism,joy,2022-10-04 11:07:04+00:00,51.5073359,-0.12765
Girls put everything on their stories except the man they went out with.,sexism,joy,2022-10-04 11:43:04+00:00,51.5073359,-0.12765
@Spiritofgaia0 @GBNEWS Only way to stop it is give them nothing.. But were led by Pussys,sexism,anger,2022-10-04 12:32:46+00:00,51.5384287,-0.0999051
Men who regularly post shirtless pics are fucking whores,sexism,anger,2022-10-04 12:46:59+00:00,51.5423045,-0.1395604
"@Bielsaball28 No, got to be when she comes out of the bedroom.",sexism,anticipation,2022-10-04 13:58:57+00:00,51.4570271,-0.1932607
@005e5n Please Lord let the females with this mentality stay far far away from me and friends.,sexism,anger,2022-10-04 16:26:52+00:00,51.4745706,-0.0925416
All women do is lie. https://t.co/kzrpZrQu2u,sexism,anger,2022-10-04 16:49:59+00:00,51.4920377,-0.2236401
Fight the real enemy. Fuck religion. https://t.co/eEMPkyDRAI,religion,anger,2022-10-04 17:43:34+00:00,51.4952111,-0.1163354
Pro tip: men are time wasters. Ignore them all.,sexism,anger,2022-10-04 18:58:25+00:00,51.5384287,-0.0999051
petition to ban men https://t.co/0v0nQsEZJb,sexism,anger,2022-10-04 19:55:34+00:00,51.5384287,-0.0999051
Female rappers confused about how talented they are,sexism,anticipation,2022-10-04 21:47:05+00:00,51.5423045,-0.1395604
@YeastyBoi11 TERFs just making up shit to get upset about,sexism,anger,2022-10-04 21:51:56+00:00,51.4613531,-0.3032767
Males under retirement age playing golf: ick,sexism,anger,2022-10-05 20:18:01+00:00,51.5423045,-0.1395604
@MikeBaggz OK homophobe,sexual_orientation,anger,2022-10-06 00:04:40+00:00,51.4624292,-0.0101787
Twat https://t.co/FsCfxRvw9Y,sexism,anger,2022-10-06 07:10:28+00:00,51.5384287,-0.0999051
Women team performances are so shit. Same old players with groups nothing else,sexism,anger,2022-10-06 08:01:20+00:00,51.542519299999995,-0.44833493117949663
When will a man rest,sexism,sadness,2022-10-06 18:24:58+00:00,51.5432402,-0.0493621
"Id use it on my bussy when shes out, AND my bussy squirts, HA Jokes on her. https://t.co/seqryZSYen",sexism,joy,2022-10-06 19:07:29+00:00,51.5432402,-0.0493621
I like ass and boobs but women are still not good people. https://t.co/337DZ2Yho8,sexism,anger,2022-10-06 21:42:21+00:00,51.3713049,-0.101957
Women have vaginas.,sexism,anticipation,2022-10-06 22:21:31+00:00,51.5423045,-0.1395604
Moral of the story : FEAR WOMEN,sexism,fear,2022-10-06 23:13:34+00:00,51.3713049,-0.101957
Women dey always get backup.,sexism,anticipation,2022-10-07 00:22:55+00:00,51.3713049,-0.101957
Women are always blaming men.,sexism,anger,2022-10-07 00:23:06+00:00,51.3713049,-0.101957
You go dey trust woman,sexism,optimism,2022-10-07 00:43:23+00:00,51.3713049,-0.101957
"Men always have this magnet of sticking a finger in a hole, no matter what the hole is.... https://t.co/j0HjdDqysK",sexism,disgust,2022-10-07 10:34:24+00:00,51.3713049,-0.101957
"@tcbtttc @YesWombat @SandPatterson @Fergie_Kate @Scot_Feminists I stand corrected, but it looks different on a woman.",sexism,anticipation,2022-10-07 11:50:12+00:00,51.5423045,-0.1395604
@ChrissySense Fuck me backwards. Ive seen some scummy racist bigoted tweets in my time but this is an all time great. You know Islam is a religion right Now get in the sea - its full of turds - youll be at home.,religion,anger,2022-10-07 13:42:08+00:00,51.4613531,-0.3032767
"Once again, FEAR WOMEN.",sexism,fear,2022-10-07 15:37:28+00:00,51.4952111,-0.1163354
Cue angry middle aged men moaning about female football commentators #ENGUSA #Lionesses https://t.co/YzanxG8iSl,sexism,anger,2022-10-07 18:37:27+00:00,51.5073359,-0.12765
women are trash,sexism,anger,2022-10-07 18:46:06+00:00,51.5110713,-0.0144629
@terifar333 @Louise00flour @Arun_S_Joshi @RichardJMurphy No no no shes male-orientated. Apparently goes through young SPADs like a dose of salts .,sexism,anticipation,2022-10-07 18:57:52+00:00,51.5154795,-0.175365
SYLPH Aliens call them wtf you like alls I know they are trillions of transparent tiny shape shifting Alien monsters swarming the whole solar system effecting every planet and moon in the solar system now you just cant see them with the nakid eyes use filters to see them https://t.co/J5AaTD3io6,racism,anger,2022-10-07 20:00:08+00:00,51.4745706,-0.0925416
@NabiyaKhan11 @priyankachopra FCK OFF ISLAMIST PREACHERnTake your oppressive hijab and sh0ve it up your Halul assh0le,religion,anger,2022-10-08 00:59:59+00:00,51.5073359,-0.12765
@AyaReina It just doesnt enter their heads we might not want a boy,sexism,anticipation,2022-10-08 09:36:36+00:00,51.5760462,0.1822646
"Wondering why most newish mattresses brands are female namesoh yeah,  probably same reasons as voice assistants do, sweet, is it #genderedworld",sexism,anticipation,2022-10-08 10:00:57+00:00,51.5073359,-0.12765
Not policing women but common gym etiquette. I would not wnna see a mans cheeks in front of me either when Im fighting for me life on the leg press machine. https://t.co/HVWJTUPpAT,sexism,anger,2022-10-08 11:01:48+00:00,51.4745706,-0.0925416
why is dressing like a total slut on halloween just a girl thing I think men should do that,sexism,anger,2022-10-08 13:13:39+00:00,51.4745706,-0.0925416
Oh but if I was a girl I would have been Suzanne https://t.co/RBoNf6IfBY,sexism,joy,2022-10-08 17:01:00+00:00,51.4570271,-0.1932607
@Rob_Kimbell Spot the females apart from the one imported appointment.,sexism,anticipation,2022-10-08 17:15:24+00:00,51.4028046,0.0148142
"@Stuzipants Vile. Wont say ladies, because they arent",sexism,anger,2022-10-08 17:22:06+00:00,51.542519299999995,-0.44833493117949663
You gotta lower your ideals of freedom if you wanna suck on the warm teat of China.,racism,anger,2022-10-08 17:51:47+00:00,51.4952111,-0.1163354
@DJG1951 @stonewines @deyabrewery @VerdantBrew Mrs G tells me to keep hydrated so whats a man to do ,sexism,joy,2022-10-08 18:13:59+00:00,51.65309,-0.2002261
@izzielarche @Shaun_Baker2012 @BethFisherSport Ive heard the its just fun or its just banter trumpeted from male supporters for so long. What I enjoy most playing amp watching football with other woman is just how positive we can be. Not grinding down our opponents but lifting up our teams amp our teammates,sexism,joy,2022-10-08 20:52:26+00:00,51.4745706,-0.0925416
Why is every girl on my fyp going copper Stay In your lane,sexism,anger,2022-10-09 00:58:41+00:00,51.5423045,-0.1395604
