text,prediction,date,latitude,longitude
Lying self serving cunt hate more than words,sexism,2023-01-31 22:59:28+00:00,51.5423045,-0.1395604
Without being thought sexist every time wheeled interview does more opposition case than,sexism,2023-01-31 22:36:56+00:00,51.65309,-0.2002261
impossibly ignorant fool,disability,2023-01-31 22:22:44+00:00,51.5110713,-0.0144629
behalf tall respectable does represent,disability,2023-01-31 21:31:56+00:00,51.5073359,-0.12765
Stay away from girl,sexism,2023-01-31 21:00:11+00:00,51.4952111,-0.1163354
woman never prick however often,sexism,2023-01-31 20:48:57+00:00,51.5073359,-0.12765
have simple workable solution every time asks compete with women,sexism,2023-01-31 20:48:18+00:00,51.4028046,0.0148142
wideboy girl thing definitely wouldn associate word professional with just blogger after,sexism,2023-01-31 20:27:32+00:00,51.4989948,-0.1991229
twat walking delusion,sexism,2023-01-31 19:48:40+00:00,51.65309,-0.2002261
Yeah just struggling single dragging kids around shop screaming shouting generally annoying everyone else tries weekly shop done going notice that some rich twat swapped sleeves font,sexism,2023-01-31 19:43:20+00:00,51.5760462,0.1822646
Honestly ladies regret watching,sexism,2023-01-31 19:34:51+00:00,51.6520851,-0.0810175
quite twat,sexism,2023-01-31 19:15:43+00:00,51.4613531,-0.3032767
Bull fighting cruel barbaric sport what watching bull suffer obviously people this bunch psychopaths with conscience this sport,religion,2023-01-31 19:10:11+00:00,51.5432402,-0.0493621
male,sexism,2023-01-31 18:47:24+00:00,51.5073359,-0.12765
tells dementia,disability,2023-01-31 18:28:11+00:00,51.4028046,0.0148142
please missing point becoming women should allowed compete female sports,sexism,2023-01-31 17:48:49+00:00,51.65309,-0.2002261
writing mindblowingly ignorant curlingly misogynistic they gave some very worst lines pretty blonde female doctor Shonda Rhimes should hang head shame,sexism,2023-01-31 17:38:50+00:00,51.4745706,-0.0925416
world should insensible crimes against Humanity committed these corrupt racist authorities work satisfy their racial hatred fabricating racist excuses oppressing with cruelty,racism,2023-01-31 17:30:12+00:00,51.5073359,-0.12765
swear china banned that fighter from international travel after disgracing kung master,racism,2023-01-31 16:52:57+00:00,51.5154795,-0.175365
like housekeeping part feel like person person part unnecessary Definitely have same opinion with regards safety solo female travellers,sexism,2023-01-31 16:40:12+00:00,51.4989948,-0.1991229
brainless people like make world,disability,2023-01-31 16:39:04+00:00,51.5384287,-0.0999051
after recovering from broken ankle Talk about shooting yourself foot best leaders cricket team male female Dumb decision,sexism,2023-01-31 16:28:01+00:00,51.5073359,-0.12765
They will burn hell,religion,2023-01-31 16:26:12+00:00,51.5384287,-0.0999051
feminine urge pull trigger asos basket,sexism,2023-01-31 16:10:52+00:00,51.5384287,-0.0999051
Women cannot take accountability whatsoever they wanna their cake have Makes sense,sexism,2023-01-31 15:05:30+00:00,51.5389922,0.0804245
woman games smoother than most mens games Just wish more equal footing terms games being shown more often terrestrial channels also wages less women fallen diving like they,sexism,2023-01-31 15:02:42+00:00,51.5639957,-0.27590641378489267
that made laugh idiot,disability,2023-01-31 14:50:29+00:00,51.5156177,-0.0919983
wife second obviously,sexism,2023-01-31 14:44:44+00:00,51.5760462,0.1822646
spot friend real idiot thinks important person heard married corrupt involved scandals want visit great city London better stay Egypt loves much stupid woman,disability,2023-01-31 14:12:33+00:00,51.5639957,-0.27590641378489267
knowing meaning atheist insulting personality,disability,2023-01-31 14:05:52+00:00,51.4820845,-0.0045417
Fukkin foreigners,racism,2023-01-31 13:48:08+00:00,51.5110713,-0.0144629
absolutely most stupid people planet,disability,2023-01-31 13:32:43+00:00,51.3713049,-0.101957
aren dumbass Hope enjoyed,disability,2023-01-31 13:04:51+00:00,51.5154795,-0.175365
Evil Disgusting Beings,religion,2023-01-31 13:03:28+00:00,51.5073359,-0.12765
WOMBATS Even Zutons would have been more meaningful example,sexism,2023-01-31 12:25:29+00:00,51.4820845,-0.0045417
probably also those people thinks babysitting when looks after children while wife,sexism,2023-01-31 11:39:38+00:00,51.5423045,-0.1395604
Funded mothers will spend their children formative years working others look after them because woman unit economic activity more valuable state than woman cares children,sexism,2023-01-31 11:37:13+00:00,51.4989948,-0.1991229
Russia Mafia state ruled mobster Putin very simple evil,racism,2023-01-31 11:34:44+00:00,51.5073359,-0.12765
This cunt,sexism,2023-01-31 11:10:09+00:00,51.5154795,-0.175365
Silly cunt,sexism,2023-01-31 10:09:32+00:00,51.5760462,0.1822646
Sick bastards extremely warped religion,religion,2023-01-31 10:06:15+00:00,51.4028046,0.0148142
Wright just letting cunt cross Just heartbreak round,sexism,2023-01-31 10:00:12+00:00,51.5110713,-0.0144629
Christian jesus long dead decomposed,religion,2023-01-31 08:36:05+00:00,51.4096275,-0.3062621
seems every cunt going strike those bottom strike just further down trodden,sexism,2023-01-31 07:27:14+00:00,51.5639957,-0.27590641378489267
Copying another woman style good look sick needs help,sexism,2023-01-31 05:25:14+00:00,51.4028046,0.0148142
after weird should tell calling ladies sending idiots,sexism,2023-01-31 00:02:56+00:00,51.4820845,-0.0045417
know become entitled pathetic,disability,2023-01-30 23:16:03+00:00,51.3713049,-0.101957
Intellectually lazy comment once again brainwashed victim,disability,2023-01-30 22:51:39+00:00,51.65309,-0.2002261
